journey_id,line,direction,origin,destination,stop_id,scheduled_arrival,expected_arrival,scheduled_departure,expected_departure,arrival_status,departure_status,collection_time,arrival_delay_min,departure_delay_min,journey_stop_id,previous_delay_min,previous_departure_delay_min,delay_change_min,future_arrival_delay_min,target_delayed,scheduled_arrival_paris,hour,day_of_week,minutes_to_scheduled
SNCF_MAGENTA_PRD:VehicleJourney::57aac8b4-1a77-419f-a5b9-560edbb0c1bd:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Massy-Palaiseau,STIF:StopArea:SP:473890:,2026-08-20 16:39:41+00:00,2026-08-20 16:40:51+00:00,2026-08-20 16:40:41+00:00,2026-08-20 16:41:11+00:00,ON_TIME,ON_TIME,2026-08-20 16:08:12.130584+00:00,1.1666666666666667,0.5,SNCF_MAGENTA_PRD:VehicleJourney::57aac8b4-1a77-419f-a5b9-560edbb0c1bd:LOC_STIF:StopArea:SP:473890:,1.1666666666666667,0.5,0.0,1.1666666666666667,0,2026-08-20 18:39:41+02:00,18.0,3.0,31.481156933333335
SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43145:,2026-08-20 17:13:20+00:00,2026-08-20 17:13:20+00:00,2026-08-20 17:14:10+00:00,2026-08-20 17:14:10+00:00,ON_TIME,ON_TIME,2026-08-20 16:08:12.130584+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC_STIF:StopArea:SP:43145:,0.0,0.0,0.0,0.0,0,2026-08-20 19:13:20+02:00,19.0,3.0,65.13115693333333
SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43140:,2026-08-20 17:16:10+00:00,2026-08-20 17:16:10+00:00,2026-08-20 17:16:40+00:00,2026-08-20 17:16:40+00:00,ON_TIME,ON_TIME,2026-08-20 16:08:12.130584+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC_STIF:StopArea:SP:43140:,0.0,0.0,0.0,0.0,0,2026-08-20 19:16:10+02:00,19.0,3.0,67.96449026666667
SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43125:,2026-08-20 16:40:29+00:00,2026-08-20 16:40:29+00:00,2026-08-20 16:40:54+00:00,2026-08-20 16:40:49+00:00,ON_TIME,ON_TIME,2026-08-20 16:08:12.130584+00:00,0.0,-0.08333333333333333,SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC_STIF:StopArea:SP:43125:,0.0,-0.08333333333333333,0.0,0.0,0,2026-08-20 18:40:29+02:00,18.0,3.0,32.281156933333335
SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43122:,2026-08-20 17:22:00+00:00,2026-08-20 17:22:00+00:00,2026-08-20 17:22:30+00:00,2026-08-20 17:22:30+00:00,ON_TIME,ON_TIME,2026-08-20 16:08:12.130584+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC_STIF:StopArea:SP:43122:,0.0,0.0,0.0,0.0,0,2026-08-20 19:22:00+02:00,19.0,3.0,73.79782359999999
SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43097:,2026-08-20 16:44:03+00:00,2026-08-20 16:44:03+00:00,2026-08-20 16:44:38+00:00,2026-08-20 16:44:23+00:00,ON_TIME,ON_TIME,2026-08-20 16:08:12.130584+00:00,0.0,-0.25,SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC_STIF:StopArea:SP:43097:,0.0,-0.25,0.0,0.0,0,2026-08-20 18:44:03+02:00,18.0,3.0,35.8478236
SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43071:,2026-08-20 17:26:20+00:00,2026-08-20 17:26:20+00:00,2026-08-20 17:27:10+00:00,2026-08-20 17:27:10+00:00,ON_TIME,ON_TIME,2026-08-20 16:08:12.130584+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC_STIF:StopArea:SP:43071:,0.0,0.0,0.0,0.0,0,2026-08-20 19:26:20+02:00,19.0,3.0,78.13115693333333
SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC,B,Retour,Robinson,Aéroport Charles de Gaulle 2 (Terminal 2),STIF:StopArea:SP:43067:,2026-08-20 16:48:25+00:00,2026-08-20 16:48:25+00:00,2026-08-20 16:48:52+00:00,2026-08-20 16:48:45+00:00,ON_TIME,ON_TIME,2026-08-20 16:08:12.130584+00:00,0.0,-0.11666666666666667,SNCF_MAGENTA_PRD:VehicleJourney::4e301908-a6d6-4716-a964-874a6b05e8e0:LOC_STIF:StopArea:SP:43067:,0.0,-0.11666666666666667,0.0,0.0,0,2026-08-20 18:48:25+02:00,18.0,3.0,40.214490266666665
SNCF_MAGENTA_PRD:VehicleJourney::ed906481-743b-4c90-9515-3c003015b35d:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Robinson,STIF:StopArea:SP:43067:,2026-08-20 17:09:00+00:00,2026-08-20 17:09:00+00:00,2026-08-20 17:09:28+00:00,2026-08-20 17:09:20+00:00,ON_TIME,ON_TIME,2026-08-20 16:08:12.130584+00:00,0.0,-0.13333333333333333,SNCF_MAGENTA_PRD:VehicleJourney::ed906481-743b-4c90-9515-3c003015b35d:LOC_STIF:StopArea:SP:43067:,0.0,-0.13333333333333333,0.0,0.0,0,2026-08-20 19:09:00+02:00,19.0,3.0,60.7978236
SNCF_MAGENTA_PRD:VehicleJourney::ed906481-743b-4c90-9515-3c003015b35d:LOC,B,Aller,Aéroport Charles de Gaulle 2 (Terminal 2),Robinson,STIF:StopArea:SP:43071:,2026-08-20 16:30:00+00:00,2026-08-20 16:30:00+00:00,2026-08-20 16:30:50+00:00,2026-08-20 16:30:50+00:00,ON_TIME,ON_TIME,2026-08-20 16:08:12.130584+00:00,0.0,0.0,SNCF_MAGENTA_PRD:VehicleJourney::ed906481-743b-4c90-9515-3c003015b35d:LOC_STIF:StopArea:SP:43071:,0.0,0.0,0.0,0.0,0,2026-08-20 18:30:00+02:00,18.0,3.0,21.7978236
